Name,Web_Code,Review
"GORENJE WNEI74APS Waschmaschine (Frontlader, freistehend, 7 kg, A, 1.400 U/Min)",32007027372,4.7
"AEG L6TBE42269 Waschmaschine (Toplader, freistehend, 6 kg, D, 1200 U/Min)",32002045500,4.0
"AEG LR7FL841 EX Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min, ÖKO LAVAMAT, Serie 7000)",32008147500,0.0
"Samsung WW90T504AAW/S2 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, WiFi, Sprachassistenten, WW5100T)",32008058743,5.0
"AEG LTR7TL721EX Waschmaschine (Toplader, freistehend, 7 kg, C, 1300 U/Min, Serie 7000)",32002057500,4.3
"HAIER HW90-B14636N Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, ABT - Antibakterielle Technologie)",32008027408,1.0
"BEKO B3WFU58415W1 Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min)",32008039183,5.0
"MIELE WCD330 WPS D PWash&8kg Waschmaschine (EEK: A, Schontrommel, AddLoad, Waterproof-System)",32008106042,5.0
"HISENSE WFQA7014EVJM Waschmaschine (Frontlader, freistehend, 7 kg, A, 1.400 U/Min, Dampffunktion)",32007000404,0.0
"AEG L6TBE60279 Waschmaschine (Toplader, freistehend, 7 kg, C, 1200 U/Min)",32002047500,5.0
"AMICA WT 472 700 Waschmaschine (Toplader, freistehend, 7 kg, D, 1.200 U/Min)",32002001143,0.0
"MIELE WCD120 WPS 8kg Waschmaschine (EEK: A, Schontrommel, Waterproof-System, AddLoad)",32008072042,0.0
"BOSCH WIW28443 Waschmaschine (Serie 8, Frontlader, vollintegrierbar, 8 kg, C, 1400 U/min)",31000005010,5.0
"Siemens WG44G2A4EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, iQ500)",32008155057,4.8
"LG F6W105A Waschmaschine (Frontlader, freistehend, 10,5 kg, A, 1.600 U/Min)",32008111369,4.8
"MIELE WCA 030 WPS D LW Active Waschmaschine (Frontlader, freistehend, unterbaufähig, 7 kg, B, 1.400 U/Min)",32007010042,5.0
"BEKO WML71434NPS1 Waschmaschine (Frontlader, freistehend, 7 kg, D, 1400 U/min., Schontrommel)",32007037183,4.6
"MIELE WWD320 WPS D PWash&8kg Waschmaschine (Frontlader, freistehend, A, 8 kg, 1.400 U/Min)",32008069042,4.3
"HAIER HW90-B14959U1 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, WiFi, I-Pro Serie 5)",32008038408,0.0
"AEG LR8FL961EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, WLAN, steuerbar über App, Google Assistant Sprachsteuerung, ÖKO LAVAMAT, Serie 8000)",32008151500,4.8
"BAUKNECHT WMT Eco Star 6524 Di N Waschmaschine (Toplader, freistehend, 6,5 kg, D, 1.151 U/Min)",32002052017,0.0
"Samsung WW11BGA049TEEG Waschmaschine (Frontlader, freistehend, 11 kg, A, 1.400 U/Min, WW5000T)",32008068743,0.0
"LG V7W800A Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min, WiFi, ThinQ)",32008112369,4.9
"BAUKNECHT WM SENSE 8A Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.351 U/Min)",32008069017,1.0
"BAUKNECHT WWA 843 B Waschmaschine (Frontlader, freistehend, 8 kg, B, 1.400 U/Min)",32008065017,5.0
