Title,JSON URL,Download Count,published_date,updated_date
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of Gujarat for the month of August 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=8&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of Gujarat for the month of December 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=12&Year=2015,3,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of April 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=4&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of May 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=5&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of September 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=9&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of October 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=10&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of December 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=12&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Banas Kantha district of Gujarat for the month of July 2016,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=7&Year=2016,1,12/04/2017,11/12/2021
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of January 2016,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=1&Year=2016,2,12/04/2017,11/12/2021
Farmers Queries in Kisan Call Centre (KCC) from Amreli district of Gujarat for the month of August 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=8&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of February 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=2&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of June 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=6&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of August 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=8&Year=2015,3,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of December 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=12&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Amreli district of Gujarat for the month of June 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=6&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of November 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=11&Year=2020,0,05/11/2020,05/11/2020
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of December 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=12&Year=2020,0,01/12/2020,02/12/2020
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of January 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=1&Year=2020,0,10/06/2020,10/06/2020
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of February 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=2&Year=2020,0,16/06/2020,16/06/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of April 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=4&Year=2020,0,24/06/2020,24/06/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of September 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=9&Year=2020,0,01/09/2020,03/09/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of October 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=10&Year=2020,0,01/10/2020,01/10/2020
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of October 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=10&Year=2020,0,01/10/2020,01/10/2020
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of December 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=12&Year=2017,2,05/12/2017,05/12/2017
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of May 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=5&Year=2017,0,19/09/2017,19/09/2017
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of June 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=6&Year=2017,0,20/09/2017,20/09/2017
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of April 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=4&Year=2017,1,15/09/2017,15/09/2017
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of May 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=5&Year=2017,0,19/09/2017,19/09/2017
